,country,total_player,total_team
0,Albania,13,18
1,Algeria,28,35
2,Argentina,170,82
3,Armenia,4,1
4,Australia,479,218
5,Austria,55,33
6,Azerbaijan,11,23
7,Bahrain,6,5
8,Bangladesh,20,4
9,Belarus,83,84
10,Belgium,75,134
11,Bolivia,7,2
12,Bosnia and Herzegovina,13,27
13,Brazil,659,265
14,Brunei,38,7
15,Bulgaria,78,85
16,Cambodia,34,6
17,Canada,332,437
18,Chile,111,60
19,China,519,169
20,Colombia,96,48
21,Costa Rica,1,2
22,Croatia,28,23
23,Cyprus,5,1
24,Czech Republic,97,65
25,Denmark,682,394
26,Dominican Republic,8,5
27,Ecuador,20,7
28,Egypt,9,6
29,El Salvador,7,2
30,Estonia,70,90
31,Faroe Islands,1,2
32,Finland,328,146
33,France,223,198
34,Georgia,27,7
35,Germany,259,164
36,Greece,55,30
37,Guatemala,14,13
38,Hong Kong,111,56
39,Hungary,87,98
40,Iceland,73,18
41,India,177,62
42,Indonesia,89,48
43,Iran,48,11
44,Iraq,13,26
45,Ireland,10,25
46,Israel,43,38
47,Italy,59,26
48,Japan,100,38
49,Jordan,34,34
50,Kazakhstan,71,64
51,Korea,232,60
52,Kuwait,31,16
53,Kyrgyzstan,18,23
54,Laos,37,7
55,Latvia,114,108
56,Lebanon,60,34
57,Libya,5,2
58,Lithuania,104,92
59,Luxembourg,1,2
60,Macau,9,5
61,Macedonia,35,28
62,Malaysia,104,46
63,Maldives,6,2
64,Malta,10,4
65,Mexico,72,52
66,Moldova,13,9
67,Mongolia,141,53
68,Montenegro,9,10
69,Morocco,23,10
70,Myanmar,29,8
71,Namibia,5,1
72,Nepal,9,2
73,Netherlands,89,82
74,New Zealand,60,92
75,Norway,296,148
76,Other,5,1
77,Pakistan,42,19
78,Palestine,5,2
79,Panama,3,3
80,Paraguay,14,4
81,Peru,117,46
82,Philippines,115,32
83,Poland,301,233
84,Portugal,168,85
85,Qatar,11,3
86,Romania,107,64
87,Russia,551,379
88,Saudi Arabia,29,13
89,Serbia,115,132
90,Singapore,129,68
91,Slovakia,66,65
92,Slovenia,24,23
93,South Africa,208,61
94,Spain,102,73
95,Sri Lanka,19,9
96,Sweden,575,452
97,Switzerland,46,55
98,Syria,9,18
99,Taiwan,71,29
100,Thailand,145,40
101,Tunisia,49,31
102,Turkey,90,80
103,Turkmenistan,10,2
104,Ukraine,162,193
105,United Arab Emirates,62,33
106,United Kingdom,176,167
107,United States,1519,760
108,Uruguay,18,19
109,Uzbekistan,16,13
110,Venezuela,18,17
111,Vietnam,106,46
